"","ID","Taxpayer.ID","Taxpayer.Name","Location.Name","Address","City","State","Zip.Code","Zip.4","County","Location.Number","Permit.Number","Pemit.Begin.Date"
"1",1010554783900002,10105547839,"S S S ENTERPRISES, INC.","ON THE GO MART","8901 HOWARD DR","HOUSTON","TX",77017,5430,"HARRIS",2,7002530,"11/30/2005"
"2",1010794033900001,10107940339,"ANR ENTERPRISES INC.","BROAD MINI MART","3410 BROAD ST","HOUSTON","TX",77087,1271,"HARRIS",1,3005707,"12/31/2003"
"3",1020667630500001,10206676305,"SPEEDEXX ENTERPRISE INC.","SPEEDEXX FOOD STORE","211 W CROSSTIMBERS ST","HOUSTON","TX",77018,5601,"HARRIS",1,3001798,"03/31/2003"
"4",1020742836700001,10207428367,"MARKET TRUCK STOP INC.","TEXAS TRUCK STOP","8772 MARKET STREET RD","HOUSTON","TX",77029,3418,"HARRIS",1,5004375,"09/14/2005"
"5",1020808735200001,10208087352,"ZAINAB ENTERPRISES, INC.","SOUTH PARK FOOD STORE","7603 MARTIN LUTHER KING JR BLVD","HOUSTON","TX",77033,2011,"HARRIS",1,7004859,"09/30/2007"
"6",1030454140100001,10304541401,"SUPERMERCADO TELOLOAPAN # 4, I","TELOLOAPAN MEAT MARKET #4","8514 HAMMERLY BLVD","HOUSTON","TX",77055,1414,"HARRIS",1,2003291,"04/30/2002"
"7",1030488117900001,10304881179,"NOUR INC.","STOP AND SHOP","5301 ANTOINE DR","HOUSTON","TX",77091,4909,"HARRIS",1,2006691,"02/14/2003"
"8",1030525103400004,10305251034,"KUIFS PETROLEUM, L.P.","KUIFS SHELL #07","21025 TOMBALL PKWY","HOUSTON","TX",77070,2104,"HARRIS",4,3003910,"08/31/2003"
"9",1030525103400029,10305251034,"KUIFS PETROLEUM, L.P.","KS #28","10750 VETERANS MEMORIAL DR","HOUSTON","TX",77038,1006,"HARRIS",29,9002845,"07/31/2009"
"10",1030525103400034,10305251034,"KUIFS PETROLEUM, L.P.","KS #32","8055 N SAM HOUSTON PKWY W STE A","HOUSTON","TX",77064,3456,"HARRIS",34,9003098,"08/16/2009"
"11",1030525103400038,10305251034,"KUIFS PETROLEUM, L.P.","KS #36","21110 STATE HIGHWAY 249","HOUSTON","TX",77070,1656,"HARRIS",38,10003814,"09/30/2010"
"12",1030525103400042,10305251034,"KUIFS PETROLEUM, L.P.","CHECKOUT #45","10203 CYPRESSWOOD DR","HOUSTON","TX",77070,3407,"HARRIS",42,18002785,"07/24/2018"
"13",1030604138400001,10306041384,"NORTH ENTERPRISES, LLC","KING FUELS FOODS STORE","720 RANKIN RD","HOUSTON","TX",77073,4506,"HARRIS",1,6005097,"10/09/2006"
"14",1030604142600002,10306041426,"Z & S ENTERPRISES, LLC","FUEL EXPRESS #2","4401 AIRLINE DR","HOUSTON","TX",77022,2933,"HARRIS",2,7003162,"08/31/2007"
"15",1043639555100001,10436395551,"SONA VENTURES, INC.","FUEL DEPOT #6","2610 BROADWAY ST","HOUSTON","TX",77012,3816,"HARRIS",1,2003267,"04/30/2002"
"16",1043646128800001,10436461288,"SHAHZAB & SARA, INC.","HOPCUS MINI MART","5902 LOCKWOOD DR # A","HOUSTON","TX",77026,1826,"HARRIS",1,2003019,"05/31/2002"
"17",1043741218100002,10437412181,"DAN WIN, LLC","SUNNY FOOD STORE","7604 CLAREWOOD DR","HOUSTON","TX",77036,4922,"HARRIS",2,3000973,"02/28/2003"
"18",1043819006700001,10438190067,"THOA CORPORATION","JENSEN FOOD MART","7403 JENSEN DR","HOUSTON","TX",77093,8708,"HARRIS",1,5002949,"07/31/2005"
"19",1043825514200001,10438255142,"NORTH ALDINE, INC.","BUDGET FOOD STORE","4928 & 4930 ALDINE MAIL RD","HOUSTON","TX",77039,NA,"HARRIS",1,5004834,"11/14/2005"
"20",1043833182800001,10438331828,"ANRUS, INC.","MI TIENDA MEAT MARKET","10211 CLUB CREEK DR","HOUSTON","TX",77036,7105,"HARRIS",1,6001455,"02/28/2006"
"21",1061653556200001,10616535562,"MAKRUPA INC.","U P LIQUOR","1360 W 43RD ST","HOUSTON","TX",77018,4206,"HARRIS",1,2005646,"09/30/2002"
"22",1.061704646e+15,10617046460,"ALISHBA ENTERPRISES INC.","LUCKY EVENING FOOD STORE","8900 S BRAESWOOD BLVD STE A","HOUSTON","TX",77074,2342,"HARRIS",1,3004894,"09/30/2003"
"23",1113731213500001,11137312135,"CHIMNEYROCK BUSINESS, INC.","CHIMNEY ROCK BUSINESS INC","5602 SOUTHWEST FWY","HOUSTON","TX",77057,7506,"HARRIS",1,5000423,"01/31/2005"
"24",1113731213500002,11137312135,"CHIMNEYROCK BUSINESS, INC.","LARKWOOD SHELL","7101 SW FWY","HOUSTON","TX",77074,2001,"HARRIS",2,6003734,"06/30/2006"
"25",1113749703500001,11137497035,"R N N A ENTERPRISES INC.","STOP-N-IN","1900 BLALOCK RD STE A","HOUSTON","TX",77080,5444,"HARRIS",1,5002552,"06/14/2005"
"26",1113811696400001,11138116964,"ARSH FOODSTORE, INC.","FIRST STOP FOODSTORE #11","9230 BUFFALO SPEEDWAY","HOUSTON","TX",77025,4402,"HARRIS",1,7002283,"05/31/2007"
"27",1134240640900002,11342406409,"TARU, INC.","THE LIQUOR STORE # 5","2112 HOLLY HALL ST","HOUSTON","TX",77054,3900,"HARRIS",2,3001920,"04/30/2003"
"28",1134263550200001,11342635502,"VUONG BROTHERS CORPORATION","SING-ON SUPERMARKET","3905 CAVALCADE ST","HOUSTON","TX",77026,3405,"HARRIS",1,3004604,"09/30/2003"
"29",1134289340800002,11342893408,"MINH AHN DANG","TM VIDEO","12745 EAST FWY STE A","HOUSTON","TX",77015,5637,"HARRIS",2,18001923,"05/31/2018"
"30",1.134295279e+15,11342952790,"B.K.S. INC.","BISSONNET MOBIL","12697 BISSONNET ST","HOUSTON","TX",77099,1331,"HARRIS",1,5001445,"01/13/2005"
"31",1134345558700001,11343455587,"SAHIB SINGH & COMPANY, L.L.C.","BEVERAGE MART II","1162 ALLEN GENOA RD","HOUSTON","TX",77017,5655,"HARRIS",1,7004889,"09/30/2007"
"32",1141935330200001,11419353302,"HORIZON RETAIL LLC","MJ'S ALL SEASON FOOD STORE","15935A LEE RD","HOUSTON","TX",77032,2645,"HARRIS",1,5004699,"11/16/2005"
"33",1200026399100001,12000263991,"MAY MAN CORP.","NEVON FOOD","8902 AIRPORT BLVD","HOUSTON","TX",77061,3432,"HARRIS",1,4000116,"07/31/2011"
"34",1.200118686e+15,12001186860,"HNJ ENTERPRISES, INC","HNJ SHELL","4402 W SAM HOUSTON PKWY N","HOUSTON","TX",77041,8200,"HARRIS",1,3005220,"10/31/2003"
