"","address","lon","lat"
"1","8901 HOWARD DR",-95.2454508,29.6874626
"2","6716 SPENCER HWY",-95.1360809,29.6632322
"3","148 FAIRMONT PKWY STE A",-95.2060865,29.6505876
"4","913A S BROADWAY ST",-95.0184037,29.6544184
"5","3410 BROAD ST",-95.3111898,29.6977782
"6","15803 HIGHWAY 59 N",-95.2925687,29.9492811
"7","211 W CROSSTIMBERS ST",-95.4024836,29.8278362
"8","19931 FM 2920 RD",-95.7355563,30.0799898
"9","18909 W LITTLE YORK",-95.6983568,29.8643869
"10","8772 MARKET STREET RD",-95.2680556,29.7691667
"11","7603 MARTIN LUTHER KING JR BLVD",-95.3359456,29.6734999
"12","906 HARRIS AVE",-84.5800873,39.1084835
"13","8514 HAMMERLY BLVD",-95.4990433,29.8116224
"14","5301 ANTOINE DR",-95.473777,29.8412618
"15","21025 TOMBALL PKWY",-95.580196,29.996208
"16","10750 VETERANS MEMORIAL DR",-95.4587582,29.9365943
"17","8055 N SAM HOUSTON PKWY W STE A",-95.5430057,29.9293026
"18","16003 FM 2920 RD STE A",-95.6648993,30.078933
"19","21110 STATE HIGHWAY 249",-95.578384,29.9970836
"20","21480 FAIRFIELD PLACE DR",-95.7575291,30.0004343
"21","10203 CYPRESSWOOD DR",-95.5704246,29.9787831
"22","720 RANKIN RD",-95.3998656,29.9653617
"23","4401 AIRLINE DR",-90.1766067,29.9757878
"24","2610 BROADWAY ST",-86.1466183,39.8045375
"25","5902 LOCKWOOD DR # A",NA,NA
"26","901 W HARRIS AVE",-95.2200612,29.6978276
"27","7604 CLAREWOOD DR",-95.5182228,29.7099052
"28","7403 JENSEN DR",-95.3430557,29.8266641
"29","4928 & 4930 ALDINE MAIL RD",-80.08619,32.606415
"30","10211 CLUB CREEK DR",-95.5521712,29.6868354
"31","1360 W 43RD ST",-80.0924896,42.0877873
"32","8900 S BRAESWOOD BLVD STE A",-95.5333291,29.6731617
"33","2219 HIGHWAY 90",-93.41839,30.228876
"34","411 N COMMERCE ST",-93.1027733,41.5246898
"35","2145 RED BLUFF RD",-95.1826398,29.701189
"36","5602 SOUTHWEST FWY",-95.47675,29.726497
"37","7101 SW FWY",-95.5102101,29.7062008
"38","1900 BLALOCK RD STE A",-95.5236336,29.8075337
"39","9230 BUFFALO SPEEDWAY",-95.4276879,29.6851475
"40","2112 HOLLY HALL ST",-95.3993339,29.6848145
"41","3905 CAVALCADE ST",-95.3316964,29.8007017
"42","20203 KATY FWY",-95.7220228,29.7841231
"43","12745 EAST FWY STE A",-95.2085224,29.7718671
"44","12697 BISSONNET ST",-95.6022482,29.6774906
"45","1162 ALLEN GENOA RD",-95.2355995,29.6913038
"46","15935A LEE RD",-95.3048188,29.9518525
"47","1508 HOUSTON BLVD",-95.2350285,29.6612665
"48","8902 AIRPORT BLVD",-95.2579356,29.6518079
"49","4402 W SAM HOUSTON PKWY N",-95.5628354,29.8324853
"50","3835 REVEILLE ST",-95.2899353,29.6856528
"51","445 LATHROP ST",-95.3009189,29.7804493
"52","16510 LEE RD",-95.305901,29.960164
"53","4415 LIBERTY RD",-84.2615432,39.7331433
"54","13214 W LITTLE YORK RD STE A",-95.608693,29.8635118
"55","721 PARK ST",-88.0423646,44.5340775
"56","7000 WOODRIDGE DR",-95.2939038,29.7032258
"57","2633 WINROCK BLVD",-95.4959895,29.7389723
"58","2107 W CEDAR BAYOU LYNCHBURG RD",-94.9911962,29.7799324
"59","2233 FM 1960 RD E",-95.3929428,30.024939
"60","7575 OFFICE CITY DR SPC 2",-95.2873836,29.7017518
"61","8115 GULF FWY",-95.272872,29.6815927
"62","5330 CHIMNEY ROCK RD",-95.4766957,29.7233767
"63","2911 N ALEXANDER DR",-94.9427615,29.7541582
"64","3140 RICHMOND AVE",-95.4260918,29.7343876
"65","9801 BEECHNUT ST",-95.5541104,29.6890401
"66","10730 GRANT RD",-95.5800473,29.9674036
"67","3247 TRUXILLO ST",-95.3593427,29.7252371
"68","8817 JENSEN DR",-95.3432192,29.8397304
"69","12831 WESTHEIMER RD",-95.6104502,29.7356506
"70","1601 N ALEXANDER DR",-94.9540432,29.7402899
"71","6114 DECKER DR",-95.0314937,29.7834407
"72","11611 ALIEF CLODINE",-95.5829659,29.7155122
"73","5902 SAN FELIPE ST",-95.4865063,29.7503713
"74","6730 LOUETTA RD",-95.5166858,30.0254472
"75","5020 BELLAIRE BLVD",-95.4673986,29.7062573
"76","4680 BEECHNUT ST",-95.4580007,29.6895675
"77","6707 W SAM HOUSTON PKWY S",-95.5560265,29.7039973
"78","3941 FONDREN RD",-95.5197599,29.7217723
"79","7931 SOUTHWEST FWY",-95.5260522,29.692121
"80","15509 S POST OAK RD",-95.4640659,29.6008813
"81","13902 ALMEDA RD",-95.4235342,29.6047733
"82","715 NORMANDY ST",-95.2034672,29.7842436
"83","10540 CYPRESS CREEK PKWY",-95.5795739,29.9371978
"84","12010 SPRING CYPRESS RD",-95.6084086,30.0132358
"85","13020 MARKET STREET RD",-95.19665,29.7676397
"86","4627 N HIGHWAY 146",-94.9195285,29.7678545
"87","11005 GRANT RD",-95.5856059,29.966526
"88","2800 POST OAK BLVD",-95.4622183,29.7370769
"89","13438 BEAUMONT HWY",-95.1893844,29.8411846
"90","16251 S POST OAK RD",-95.4684935,29.5910312
"91","135 W SOUTHMORE AVE",-95.212879,29.6904577
"92","4302 HICKORY DOWNS DR",-95.6400855,29.8363359
"93","8309 C E KING PKWY",-95.2146381,29.8426944
"94","10937 FM 1960 RD W",-95.5821385,29.9327337
"95","8621 W AIRPORT BLVD STE D",-95.5292908,29.6420351
"96","5825 RICHMOND AVE",-95.482164,29.7311572
"97","3637 SUNBEAM ST",-95.3688064,29.6501508
"98","9635 SCOTT ST",-95.3680705,29.6518054
"99","3333 KATY FWY",-95.3936893,29.7759847
"100","11975 TIDWELL RD STE A",-95.2216516,29.8499915
"101","999 LOCKWOOD DR",-95.3160911,29.7633574
"102","3506 CAMPBELL RD",-95.5260372,29.825266
"103","21602 CYPRESSWOOD DR",-95.3264371,30.0334053
"104","307 FAIRVIEW ST",-95.3860618,29.7479948
"105","5333 KATY FWY",-95.4173757,29.7766419
"106","14710 STERLING GREEN BLVD",-95.1625533,29.7998249
"107","10290 FORUM WEST DR",-95.5594104,29.6680115
"108","516 BERRY RD",-95.3685407,29.8372408
"109","9201 HOMESTEAD RD",-95.3024298,29.8453149
"110","10910 AIRLINE DR",-95.4045495,29.914927
"111","11302 SPACE CENTER BLVD STE A",-95.1434512,29.6305755
"112","9703 MILLS RD",-95.5648454,29.9584879
"113","1421 E SAM HOUSTON PKWY S",-95.152696,29.6898528
"114","612 CENTER ST",-92.2739359,34.7429314
"115","2925 WALNUT BEND LN",-95.5673892,29.7317301
"116","9900 GALVESTON RD",-95.1981475,29.6226914
