"","lon","lat","Location.Name"
"1",-95.3581699,29.7546817,"LONE STAR SUNDRIES"
"2",-95.3581699,29.7546817,"LONE STAR TRADERS"
"3",-95.3614946,29.7544474,"PHOENICIA SPECIALTY FOODS"
"4",-95.3624506,29.7539836,"FOUR SEASON HOTEL HOUSTON"
"5",-95.3626334,29.7547627,"GATEWAY NEWSTAND"
"6",-95.718424,29.7825882,"TIMEWISE FOOD STORE #233"
"7",-95.688778,29.7768776,"HK FOOD STORE"
"8",-95.6890958,29.7764628,"TIPSY LIQUOR & SPIRITS"
"9",-95.4313403,29.7315925,"GATEWAY NEWSTAND"
"10",-95.4366254,29.7331629,"SUNRISE SUPER STOP"
"11",-95.4354433,29.7321329,"SAMI'S CONVENIENCE & GIFT, INC"
"12",-95.4344614,29.732173,"PLAZA NEWSTAND"
"13",-95.1434512,29.6305755,"THE EXPRESS"
"14",-95.1270831,29.6063705,"HEB FOOD STORE #713"
"15",-95.1259935,29.5933236,"BAY OAKS COUNTRY CLUB"
"16",-95.1127379,29.594568,"U STOP GROCERY"
"17",-95.1434512,29.6305755,"EXPRESS LIQUOR"
"18",-95.143329,29.6301738,"CBD & SMOKE"
"19",-95.1256558,29.6050124,"STONEFIELD LIQUOR"
"20",-95.4295452,29.7267894,"KROGER TEXAS L.P. #314"
"21",-95.4422795,29.7224248,"WALGREENS #0489"
"22",-95.4284041,29.7259254,"WALGREENS   #4745"
"23",-95.4396316,29.7228763,"SPEC'S WINE SPIRITS AND FINER"
"24",-95.4180304,29.7233948,"CIRCLE K #2742609"
"25",-95.4271763,29.7269681,"HEB FOOD STORE #599"
"26",-95.4425939,29.721657,"RANDALL'S FOOD & DRUGS # 4033"
"27",-95.4146343,29.7158644,"THE GINGER MAN"
"28",-95.4182146,29.725124,"TIMEWISE FOOD STORE #7201"
"29",-95.4154989,29.7169764,"THE BRIAR SHOPPE INCORPORATED"
"30",-95.4211607,29.7257254,"TONY K'S HOME OF FINESPIRITS"
"31",-95.4145934,29.7155954,"ISTANBUL GRILL"
"32",-95.4145934,29.7157307,"LITTLE WOODROW'S IN THE VILLAG"
"33",-95.4180422,29.7076028,"H TOWN SMOKE & VAPE"
"34",-95.5226047,29.7822004,"KROGER TEXAS L.P. #600"
"35",-95.5228682,29.78207,"WALGREENS #1583"
"36",-95.5621092,29.7736217,"WALGREENS  #3328"
"37",-95.475759,29.781987,"MEMORIAL LIQUOR"
"38",-95.4798701,29.7796863,"THE FOREST CLUB"
"39",-95.4942085,29.7852244,"SPEC'S WINE, SPIRITS AND FINER"
"40",-95.5322426,29.7789528,"CIRCLE K #2740565"
"41",-95.4570385,29.7737521,"GEORGE VARCADOS SHELL INC"
"42",-95.5592668,29.773809,"RANDALL'S FOOD AND DRUG #1066"
"43",-95.5206002,29.7832257,"TIMEWISE FOOD STORE #7601"
"44",-95.4840484,29.7830303,"TIMEWISE # 839"
"45",-95.4936144,29.7833329,"TIMEWISE FOOD STORE #241"
"46",-95.4843122,29.7847785,"TIMEWISE FOOD STORE #312"
"47",-95.5620766,29.7731726,"TOWN & COUNTRY CHEVRON"
"48",-95.5497106,29.7666798,"JACK JOHN VARCADOS SHELL"
"49",-95.457018,29.7727834,"MEMORIAL CAR CARE CENTER"
"50",-95.5350716,29.7805029,"TERRACE FOOD & GIFT SHOP"
"51",-95.5602923,29.7818363,"THE TASTING ROOM"
"52",-95.5514656,29.7670069,"TOTAL WINE SPIRITS BEER & MORE"
"53",-95.4574479,29.7737803,"MEMORIAL FOOD MART"
"54",-95.4759399,29.7820745,"RICHARD'S GROCERY STORE"
"55",-95.4765114,29.782801,"HIGH END SMOKE SHOP"
"56",-95.5046297,29.7833818,"FEDERAL AMERICAN GRILL"
"57",-95.4573763,29.7737945,"WEST LOOP LIQUOR"
"58",-95.4574275,29.7737586,"LEGENDS 2 INC"
"59",-95.4722517,30.0180494,"SUPER 7 FOOD MART"
"60",-95.4837757,29.9964784,"MURPHY USA #6856"
"61",-95.4670043,30.0062882,"CIRCLE K STORES INC #2703300"
"62",-95.4840136,29.9981635,"WAL-MART SUPERCENTER #1103"
"63",-95.4928359,30.0049726,"PINPOINT VENDING"
"64",-95.4844283,29.9950488,"WALTERS ROAD SHELL"
"65",-95.4982648,29.9882925,"VETERANS Q-MART"
"66",-95.4749959,30.0220315,"SHELL FOOD MART"
"67",-95.4660252,30.0054193,"STEP IN EXPRESS #2"
"68",-95.4684302,30.0051334,"O2 BEAUTY AND BARBER STUDIO"
"69",-95.4632011,30.0048754,"FAMILY DOLLAR STORE #26442"
"70",-95.4832291,30.0173233,"NORTHGATE COUNTRY CLUB"
"71",-95.4829982,29.9958956,"BUZZ LIQUOR"
"72",-95.4983508,29.9893696,"CIGARS OF THE WORLD #3"
"73",-95.4675358,30.0051201,"ROCK-N-ROLL-IT 1060"
"74",-95.4822559,29.9987449,"SMOKE MOUNTAIN"
"75",-95.4674058,30.0065667,"LOS COMALES MEAT MARKET"
"76",-95.4671003,30.0062228,"HOUSE LIQUOR"
"77",-95.4844269,29.9950468,"PIT STOP EXPRESS #3"
"78",-95.6317482,29.9024221,"KROGER TEXAS L.P. #374 & FUEL"
"79",-95.6365073,29.8972778,"WALGREENS #4161"
"80",-95.6688853,29.8797539,"WALGREEN #07381"
"81",-95.6281343,29.8787921,"WALGREENS #07725"
"82",-95.6834217,29.8799983,"SPEC'S #48"
"83",-95.6310595,29.9089061,"SPEC'S WINE AND SPIRITS, SPEC'"
"84",-95.6542148,29.8796401,"CIRCLE K #2742348"
"85",-95.6518749,29.8769685,"WAL-MART SUPERCENTER #1040"
"86",-95.6307215,29.8887275,"HEARTHSTONE COUNTRY CLUB"
"87",-95.6486326,29.8777695,"FOOD TOWN #204"
"88",-95.6449324,29.8796526,"TIMEWISE #830"
"89",-95.6348899,29.9021305,"WEST ROAD SHELL"
"90",-95.6291199,29.8791105,"HANDI-STOP #21"
"91",-95.6398391,29.8894199,"PENNISON'S SPORTS PUB TOO"
"92",-95.668881,29.881332,"QUEENSTON FOOD MART"
"93",-95.6289556,29.9090269,"SHELL FOOD MART"
"94",-95.6485884,29.908099,"EXCLUSIVE FOOD MART #2"
"95",-95.6725427,29.878561,"Z'S CORNER FOOD MART"
"96",-95.6310595,29.9089061,"BENCHWARMERS SPORTS BAR"
"97",-95.6665019,29.9330913,"HOUSTON NATIONAL GOLF CLUB"
"98",-95.6427554,29.8913225,"M & M FOOD MARKET"
"99",-95.6673854,29.8783092,"SMOKIN SECTION"
"100",-95.667899,29.8794359,"COPPERFIELD FOOD MART"
